,place_id,name,address,rating,contact_number,coordinates_lat,coordinates_lng
104,ChIJE7Qtmty4VTcR64xFrEmPoIs,"Fire Service and Civil Defense Station, Palashi","P9GQ+5PP, Dhakeshwari Rd, Dhaka 1000, Bangladesh",4.1,02-8628688,23.7254623,90.3893354
105,ChIJQUCGyES5VTcRKkgmroeSr7U,সচিবালয় অস্থায়ী ফায়ার স্টেশন,"PCH5+5M2, Dhaka 1205, Bangladesh",N/A,02-9515555,23.72788779999999,90.40915539999999
106,ChIJq-lv2C2_VTcRskJJPmJ1wpI,"Fire Service & Civil Defence Station, Hazaribagh","P9GC+237, রোড, Dhaka, Bangladesh",4.3,02-58616222,23.7250443,90.37016729999999
107,ChIJGz7BIty4VTcRGJFxctme7AM,Lalbagh Fire Station,"Opp to Dhakeshwari mandir, 22/1 Nur Fattah Lane, Dhaka 1000, Bangladesh",4.3,02-58617171,23.7216473,90.3903446
108,ChIJYeFivfu4VTcRFeRuPvIwcUk,Bangladesh Fire Service and Civil Defense Head Quarter,"38-46 Kazi Alauddin Road, Fulbaria Rd, ঢাকা 1000, Bangladesh",4.5,01730-336699,23.7227803,90.4060623
110,ChIJfb-Bs2G5VTcRFll_4v8t-uM,Dhaka Inland Container Depot (ICD) Fire Station,"PCGH+596, T.T. Para Circle, Dhaka, Bangladesh",5,01519-114649,23.7254058,90.4283763
111,ChIJSXkR7ga5VTcRsZsN7H-xfMA,Sadarghat Fire Service and Civil Defense Station,"PC45+QPW, Simson Rd, Dhaka 1100, Bangladesh",4.7,02-7119759,23.706986,90.40934159999999
113,ChIJA0CCaq-5VTcRFOhxdO6J_UU,Sutrapur Fire Station,"119, 133 R M Dash Rd, Dhaka, Bangladesh",4,02-7119759,23.7047632,90.4189785
114,ChIJ-xSM9vG-VTcRa2qKRQNi0Ls,Keraniganj Fire Station,"M8XW+28R, Upozila Parishad Road, Keraniganj, Bangladesh",4.2,01901-020810,23.6976024,90.3457803
115,ChIJZ6LAaPvrVTcRkwuRmCplo3Y,Leather Industry City Fire Station,"Fire service and civil defence station, Leather Industrial City, Leather Industry, Bangladesh",1,01901-020824,23.7794382,90.2412531
142,ChIJiURCt2y4VTcRr9IzA03tzpo,Khilgaon Fire Station & Civil Defense Station,"PCWJ+99V, Shantipur Rd 02, Dhaka 1219, Bangladesh",4.4,02-7218329,23.7459772,90.4309224
154,ChIJD6KStuq5VTcRLaN_GdGj8lE,Abdus Samad Azad HD,"MCQV+873, Dhaka 1204, Bangladesh",N/A,01711-465795,23.6882723,90.4431618
156,ChIJM6oaKDbpVTcRQVozFQ4x9nE,"Modern Fire Service And Civil Defence Station, Savar Senanibas, Zirabo, Dhaka","Dhaka - Ashulia Hwy, Dendabor, Bangladesh",4.2,01993-556032,23.92223329999999,90.2628749
157,ChIJ902Jj7DLVTcRL7tWeGdsoTs,Kanchan River Fire Station,"RHC2+CG7, Rupganj, Bangladesh",3.8,01730-002317,23.8210336,90.55128789999999
158,ChIJ8VVzRn_bVTcR4K7TiM7l4jg,Modern Fire Service & Civil Defense,"X9GG+VRW, Gazipur, Bangladesh",3.7,01901-020874,23.9772435,90.37706329999999
159,ChIJdW9zxnfoVTcR0clVfFPRidU,DEPZ Fire Station,"X72F+V6X DEPZ, Nabinagar - Chandra Rd, Ashulia, Bangladesh",4.2,01730-002301,23.9522398,90.2731048
160,ChIJ028uC7q3VTcRRQWQcJvQSOs,Shimrail Fire Station,"PG28+VFH, Kanchpur Bridge, Narayanganj, Bangladesh",5,01901-020848,23.70232829999999,90.5154183
